scale_factor,line_orientation,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.5,d,135,,0.0,,0.0,2,0.05
0.5,d,135,,0.0,,0.0,2,0.1
0.5,d,135,,0.0,,0.0,2,0.15
0.5,d,135,,0.0,,0.0,2,0.2
0.5,d,135,,0.0,,0.0,2,0.25
0.5,d,135,,0.0,,0.0,2,0.3
0.5,d,135,,0.0,,0.0,2,0.35
0.5,d,135,,0.0,,0.0,2,0.4
0.5,d,135,,0.0,,0.0,2,0.45
0.5,d,135,,0.0,,0.0,2,0.5
0.5,d,135,,0.0,,0.0,2,0.55
0.5,d,135,,0.0,,0.0,2,0.6
0.5,d,135,,0.0,,0.0,2,0.65
0.5,d,135,,0.0,,0.0,2,0.7
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.05
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.1
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.15
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.2
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.25
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.3
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.35
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.4
0.5,d,135,se fahiyktmnopqrstunwnnye ABCDEPGHIIKL MMNOPORSTUNWIYZ 0125458769,0.65625,,0.0,4,0.45
0.5,d,135,"“099 sigs Ses

:

,lx ggg
5)",0.078125,,0.0,4,0.5
0.5,d,135,"“099 sigs Ses

:

,lx ggg
5)",0.078125,,0.0,4,0.55
0.5,d,135,"“099 sigs Ses

:

,lx ggg
5)",0.078125,,0.0,4,0.6
0.5,d,135,"“099 sigs Ses

:

,lx ggg
5)",0.078125,,0.0,4,0.65
0.5,d,135,"“099 sigs Ses

:

,lx ggg
5)",0.078125,,0.0,4,0.7
0.5,d,135,edefghillamnoparstuweny2 ABCDEFGHIUKLAIN,0.421875,,0.0,6,0.05
0.5,d,135,edefghillamnoparstuweny2 ABCDEFGHIUKLAIN,0.421875,,0.0,6,0.1
0.5,d,135,edefghillamnoparstuweny2 ABCDEFGHIUKLAIN,0.421875,,0.0,6,0.15
0.5,d,135,edefghillamnoparstuweny2 ABCDEFGHIUKLAIN,0.421875,,0.0,6,0.2
0.5,d,135,edefghillamnoparstuweny2 ABCDEFGHIUKLAIN,0.421875,,0.0,6,0.25
0.5,d,135,edefghillamnoparstuweny2 ABCDEFGHIUKLAIN,0.421875,,0.0,6,0.3
0.5,d,135,,0.0,Le,0.015625,6,0.35
0.5,d,135,,0.0,Le,0.015625,6,0.4
0.5,d,135,,0.0,Le,0.015625,6,0.45
0.5,d,135,"GL
ASS,3zps aS SS SSS iSh",0.078125,,0.0,6,0.5
0.5,d,135,"GL
ASS,3zps aS SS SSS iSh",0.078125,,0.0,6,0.55
0.5,d,135,"GL
ASS,3zps aS SS SSS iSh",0.078125,,0.0,6,0.6
0.5,d,135,"GL
ASS,3zps aS SS SSS iSh",0.078125,,0.0,6,0.65
0.5,d,135,"GL
ASS,3zps aS SS SSS iSh",0.078125,,0.0,6,0.7
0.5,d,135,abextefahilkimoparstuwnyyz ABODEFGHIKLMINOPORSTUVWAVZ 0128485789,0.6875,,0.0,8,0.05
0.5,d,135,abextefahilkimoparstuwnyyz ABODEFGHIKLMINOPORSTUVWAVZ 0128485789,0.6875,,0.0,8,0.1
